fbid,mother_tongue,locality,occupation,age,pages_liked_1,pages_liked_2,pages_liked_3,gender,marital_status,education_school,education_college
100000,Spanish,en_US,Neurologist,26,MS Dhoni,Disha Patani,Mitacs Globalink,F,single,DPS,MIT
100001,English,en_UD,Dentist,24,Vidyamandir Classes,Narendra Modi,A.P.J Abdul Kalam,M,single,Neo Convent,Delhi technological University
100002,English,da_DK,Computer Engineer,36,Terrible Tiny Tales,J.K Rowling,Mitacs Globalink,M,single,Mount Carmel,Amity
100003,Chinese,cx_PH,Civil Engineer,30,Vidyamandir Classes,Mitacs Globalink,Shopmania,M,single,Mount Carmel,Maharaja Surajmal
100004,English,ca_ES,Business Man,39,Disha Patani,Vidyamandir Classes,J.K Rowling,M,Married,Oxford School,Delhi technological University
100005,German,de_DE,Computer Engineer,25,Shopmania,MS Dhoni,Silicon Valley,F,Married,Mount Carmel,MIT
100006,Spanish,cs_CZ,Dentist,26,A.P.J Abdul Kalam,J.K Rowling,MS Dhoni,F,single,DPS,Delhi technological University
100007,Hindi,cx_PH,Neurologist,25,J.K Rowling,Vidyamandir Classes,Narendra Modi,M,single,DPS,MIT
100008,German,gn_PY,General Physician,26,A.P.J Abdul Kalam,Terrible Tiny Tales,Mitacs Globalink,F,single,Oxford School,Delhi technological University
100009,Chinese,eu_ES,Dentist,39,A.P.J Abdul Kalam,J.K Rowling,Vidyamandir Classes,M,Married,Neo Convent,Maharaja Surajmal
100010,Chinese,eu_ES,Mechanical Engineer,26,Silicon Valley,Disha Patani,Shopmania,M,Married,Oxford School,CMU
100011,Chinese,eu_ES,Dentist,30,Mitacs Globalink,MS Dhoni,J.K Rowling,M,Married,Mount Carmel,Delhi technological University
100012,Spanish,eu_ES,Dentist,29,Terrible Tiny Tales,A.P.J Abdul Kalam,J.K Rowling,F,Married,Oxford School,MIT
100013,Chinese,gn_PY,Computer Engineer,33,A.P.J Abdul Kalam,Disha Patani,Shopmania,F,single,Mount Carmel,MIT
100014,German,eu_ES,Business Man,21,MS Dhoni,Shopmania,Narendra Modi,F,Married,Indraprastha School,CMU
100015,Spanish,es_ES,Dentist,27,Mitacs Globalink,Terrible Tiny Tales,Narendra Modi,F,single,Neo Convent,CMU
100016,Chinese,de_DE,Computer Engineer,32,Disha Patani,Vidyamandir Classes,Terrible Tiny Tales,M,Married,DPS,MIT
100017,Portugese,eu_ES,Teacher,27,A.P.J Abdul Kalam,Disha Patani,Narendra Modi,F,single,Indraprastha School,Amity
100018,Hindi,cy_GB,Teacher,22,Disha Patani,Narendra Modi,Silicon Valley,M,Married,DPS,Delhi technological University
100019,Hindi,ca_ES,Dentist,27,Mitacs Globalink,Vidyamandir Classes,Narendra Modi,F,single,Indraprastha School,Maharaja Surajmal
100020,German,da_DK,Teacher,39,Shopmania,MS Dhoni,Disha Patani,M,Married,Oxford School,Maharaja Surajmal
100021,Hindi,es_LA,Business Man,25,Shopmania,MS Dhoni,Terrible Tiny Tales,F,Married,Mount Carmel,Amity
100022,Hindi,es_LA,Computer Engineer,31,Disha Patani,Narendra Modi,Shopmania,F,Married,Neo Convent,CMU
100023,Chinese,cy_GB,Civil Engineer,33,J.K Rowling,MS Dhoni,Terrible Tiny Tales,M,Married,Neo Convent,CMU
100024,Spanish,es_ES,Dentist,39,Mitacs Globalink,Disha Patani,J.K Rowling,F,single,Oxford School,CMU
100025,German,da_DK,Neurologist,27,Disha Patani,Shopmania,Terrible Tiny Tales,M,Married,Mount Carmel,Maharaja Surajmal
